"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","165.60","164.80","167.00","163.80","52.80K","0.49%"
"12/29/2025","164.80","168.20","170.20","164.20","155.45K","-2.02%"
"12/28/2025","168.20","168.20","168.80","167.60","21.30K","-0.24%"
"12/27/2025","168.60","168.20","169.60","168.20","11.48K","0.84%"
"12/26/2025","167.20","170.60","170.60","166.80","142.41K","-1.88%"
"12/25/2025","170.40","162.40","178.60","162.40","661.73K","5.06%"
"12/24/2025","162.20","162.20","164.60","162.20","76.70K","-0.12%"
"12/23/2025","162.40","162.80","164.20","161.80","24.50K","-0.25%"
"12/22/2025","162.80","166.00","166.80","162.40","63.09K","-1.81%"
"12/21/2025","165.80","166.00","166.60","165.00","5.78K","-0.12%"
"12/20/2025","166.00","166.00","166.20","165.00","2.50K","0.00%"
"12/19/2025","166.00","164.00","167.40","163.80","85.55K","0.36%"
"12/18/2025","165.40","162.40","166.20","161.80","115.79K","2.22%"
"12/17/2025","161.80","164.00","166.20","161.20","58.54K","-1.70%"
"12/16/2025","164.60","162.80","166.40","162.00","82.66K","0.86%"
"12/15/2025","163.20","161.00","164.80","161.00","64.35K","0.00%"
"12/14/2025","163.20","161.00","164.40","163.00","23.87K","-0.49%"
"12/13/2025","164.00","161.00","164.60","161.00","19.04K","2.12%"
"12/12/2025","160.60","167.00","167.40","160.00","117.54K","-3.14%"
"12/11/2025","165.80","160.00","168.00","159.80","194.71K","3.37%"
"12/10/2025","160.40","160.40","160.60","159.40","22.23K","0.00%"
"12/09/2025","160.40","160.20","160.60","159.40","30.65K","0.00%"
"12/08/2025","160.40","161.60","161.80","160.20","29.13K","0.50%"
"12/05/2025","159.60","158.00","161.20","158.00","43.44K","1.01%"
"12/04/2025","158.00","157.60","158.80","157.60","18.97K","0.38%"
"12/03/2025","157.40","157.20","158.20","156.00","24.40K","-1.13%"
"12/02/2025","159.20","157.20","159.60","157.20","23.61K","0.89%"
"12/01/2025","157.80","159.40","159.60","157.00","40.68K","-0.38%"
"11/30/2025","158.40","159.40","159.40","158.20","7.37K","0.13%"
"11/29/2025","158.20","159.40","159.40","157.80","2.05K","-0.13%"
"11/28/2025","158.40","158.00","159.20","157.20","20.49K","0.51%"
"11/27/2025","157.60","159.60","159.60","156.00","24.52K","-0.88%"
"11/26/2025","159.00","159.20","160.20","158.20","15.81K","-0.63%"
"11/25/2025","160.00","159.00","160.40","158.80","30.40K","0.63%"
"11/24/2025","159.00","160.60","165.00","157.20","63.82K","-1.00%"
"11/21/2025","160.60","160.60","161.60","159.60","25.39K","-0.25%"
"11/20/2025","161.00","161.20","162.00","159.60","36.75K","0.37%"
"11/19/2025","160.40","159.20","162.00","159.00","40.85K","0.63%"
"11/18/2025","159.40","160.00","161.80","159.00","21.13K","-0.38%"
"11/17/2025","160.00","161.60","162.40","160.00","17.73K","-0.99%"
"11/16/2025","161.60","161.60","162.40","160.80","3.74K","0.12%"
"11/15/2025","161.40","161.60","162.00","160.60","1.89K","0.87%"
"11/14/2025","160.00","160.00","161.80","158.00","27.40K","0.25%"
"11/13/2025","159.60","162.00","163.20","159.00","33.67K","-0.99%"
"11/12/2025","161.20","159.40","162.00","158.80","26.64K","0.75%"
"11/11/2025","160.00","160.80","161.00","158.20","16.93K","0.25%"
"11/10/2025","159.60","158.00","163.60","158.00","33.26K","-0.25%"
"11/09/2025","160.00","158.00","160.00","158.20","2.85K","1.14%"
"11/08/2025","158.20","158.00","158.80","158.00","0.98K","-0.13%"
"11/07/2025","158.40","158.40","160.80","157.00","23.10K","-0.50%"
"11/06/2025","159.20","157.80","159.20","156.20","11.52K","1.14%"
"11/05/2025","157.40","157.60","160.00","157.00","16.11K","0.38%"
"11/03/2025","156.80","155.60","157.60","155.60","7.76K","0.00%"
"11/01/2025","156.80","154.00","156.80","153.40","8.84K","1.82%"
"10/31/2025","154.00","157.00","158.00","152.40","13.73K","-2.41%"
"10/30/2025","157.80","154.80","158.00","154.20","16.95K","1.94%"
"10/29/2025","154.80","153.00","156.60","151.20","39.71K","1.98%"
"10/28/2025","151.80","151.60","153.20","150.00","13.36K","0.93%"
"10/27/2025","150.40","153.80","153.80","150.40","29.43K","-2.34%"
"10/24/2025","154.00","155.40","156.40","152.80","15.40K","-0.52%"
"10/23/2025","154.80","155.80","155.80","151.40","16.82K","0.00%"
"10/22/2025","154.80","156.00","159.40","153.20","23.58K","-1.15%"
"10/21/2025","156.60","162.00","162.00","155.20","41.91K","-2.85%"
"10/20/2025","161.20","156.00","161.40","155.00","43.72K","1.38%"
"10/19/2025","159.00","156.00","159.40","157.40","18.36K","0.25%"
"10/18/2025","158.60","156.00","159.20","155.00","12.25K","1.93%"
"10/17/2025","155.60","159.60","159.80","153.40","33.33K","-1.02%"
"10/16/2025","157.20","151.20","159.40","151.00","70.15K","3.97%"
"10/15/2025","151.20","151.80","152.80","151.00","20.89K","-0.53%"
"10/14/2025","152.00","153.80","155.00","150.60","26.74K","-1.04%"
"10/13/2025","153.60","157.00","157.80","150.80","60.59K","-1.41%"
"10/12/2025","155.80","157.00","156.60","155.20","16.35K","0.13%"
"10/11/2025","155.60","157.00","157.80","155.00","12.15K","-1.27%"
"10/10/2025","157.60","158.00","158.00","154.40","22.14K","0.51%"
"10/09/2025","156.80","156.20","158.20","152.20","48.33K","-0.13%"
"10/08/2025","157.00","162.60","163.00","155.40","47.37K","-3.09%"
"10/07/2025","162.00","162.20","165.80","161.60","25.81K","-0.12%"
"10/06/2025","162.20","159.40","162.20","156.00","46.44K","2.79%"
"10/05/2025","157.80","159.40","158.60","156.40","16.90K","-0.38%"
"10/04/2025","158.40","159.40","159.40","157.40","4.50K","-0.75%"
"10/03/2025","159.60","161.00","162.80","158.00","34.60K","-1.24%"
"10/02/2025","161.60","162.60","163.40","160.00","23.23K","-0.74%"
"10/01/2025","162.80","161.80","165.40","161.00","36.46K","1.12%"
"09/30/2025","161.00","163.20","163.60","160.00","39.85K","-1.47%"
"09/29/2025","163.40","166.00","167.60","161.00","35.67K","-2.16%"
"09/28/2025","167.00","166.00","167.60","166.20","1.98K","0.00%"
"09/27/2025","167.00","166.00","167.20","166.00","1.63K","0.12%"
"09/26/2025","166.80","166.20","167.20","164.80","22.90K","-0.12%"
"09/25/2025","167.00","166.80","167.80","164.20","33.81K","0.24%"
"09/24/2025","166.60","167.80","170.60","164.60","71.14K","-1.42%"
"09/23/2025","169.00","168.20","170.80","167.40","16.89K","0.36%"
