step,forecast_analytical,forecast_numerical
1,40.951310392431246,40.965203548669784
2,41.08153588650251,41.049071352657535
3,41.17653094218059,41.14143592494521
4,41.36684983566103,41.32640202918425
5,41.43333055630961,41.372135953381594
6,41.44556046445088,41.347706371883206
7,41.63993646388171,41.531829204576965
8,41.63487047844946,41.528689330146705
9,41.661406250773446,41.56832207918572
10,41.86106817824616,41.731918580087815
11,41.84167734143331,41.741519826691516
12,41.810219918830775,41.728891409101024
13,42.00311450667872,41.90507475591299
14,41.98620986992344,41.90541949087062
15,41.97119596351156,41.89865393574928
16,42.18069119312279,42.081149533663535
17,42.15357018240067,42.06886515036575
18,42.113788620434335,42.04731092241531
19,42.32630786178747,42.22542997261146
20,42.290375080374815,42.2127205320553
21,42.23228378342256,42.17941588844398
22,42.44419633587033,42.356605063255344
23,42.401799202079914,42.336457223843844
24,42.32976093230094,42.293876569288784
25,42.53804179682905,42.466778037841166
