"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","40.80","40.40","40.91","39.86","38.31K","0.29%"
"12/30/2025","40.68","41.41","41.41","40.68","59.96K","-0.11%"
"12/29/2025","40.73","40.78","40.84","40.42","81.44K","0.69%"
"12/26/2025","40.44","40.32","40.58","40.18","117.19K","0.43%"
"12/24/2025","40.27","40.00","40.43","39.89","774.96K","0.42%"
"12/23/2025","40.10","40.21","40.35","39.84","518.95K","-0.31%"
"12/22/2025","40.23","39.97","40.41","39.96","59.36K","-1.26%"
"12/19/2025","40.74","40.71","40.95","40.48","78.33K","0.44%"
"12/18/2025","40.56","40.22","40.69","40.21","57.41K","-0.69%"
"12/17/2025","40.84","40.91","41.12","40.81","70.98K","-0.75%"
"12/16/2025","41.15","41.43","41.44","41.01","115.27K","0.28%"
"12/15/2025","41.03","41.08","41.19","40.92","83.29K","0.23%"
"12/12/2025","40.94","40.43","41.15","40.43","68.82K","1.29%"
"12/11/2025","40.42","39.92","40.54","39.92","889.57K","1.46%"
"12/10/2025","39.84","38.98","39.85","38.98","233.83K","1.81%"
"12/09/2025","39.13","39.63","39.70","39.10","105.21K","-1.24%"
"12/08/2025","39.62","39.66","39.77","39.50","103.27K","-1.44%"
"12/05/2025","40.20","40.18","40.51","40.18","145.10K","-1.11%"
"12/04/2025","40.65","40.55","41.00","40.54","82.90K","-0.22%"
"12/03/2025","40.74","40.34","40.97","40.34","83.73K","0.92%"
"12/02/2025","40.37","40.90","40.90","40.22","141.26K","-1.13%"
"12/01/2025","40.83","40.76","41.05","40.70","165.98K","0.36%"
"11/28/2025","40.69","40.89","40.89","40.46","135.21K","1.64%"
"11/26/2025","40.03","39.66","40.09","39.66","57.59K","-0.68%"
"11/25/2025","40.30","40.55","40.55","40.01","90.05K","0.96%"
"11/24/2025","39.92","40.31","40.48","39.84","213.01K","-1.99%"
"11/21/2025","40.73","40.09","40.85","40.09","622.28K","2.88%"
"11/20/2025","39.59","39.14","39.82","39.14","776.52K","0.13%"
"11/19/2025","39.54","39.45","39.81","39.38","156.12K","-0.20%"
"11/18/2025","39.62","39.72","39.87","39.35","122.20K","-1.44%"
"11/17/2025","40.20","40.22","40.54","40.20","52.59K","-1.50%"
"11/14/2025","40.81","40.99","41.17","40.67","58.71K","-0.87%"
"11/13/2025","41.17","40.99","41.38","40.99","100.69K","-0.19%"
"11/12/2025","41.25","41.21","41.44","41.21","61.47K","0.29%"
"11/11/2025","41.13","41.00","41.22","41.00","59.97K","1.78%"
"11/10/2025","40.41","40.45","40.72","40.21","95.58K","-0.37%"
"11/07/2025","40.56","40.01","40.57","40.01","122.52K","1.53%"
"11/06/2025","39.95","39.52","40.01","39.34","213.98K","-0.20%"
"11/05/2025","40.03","39.48","40.14","39.48","69.45K","1.96%"
"11/04/2025","39.26","38.82","39.40","38.82","85.93K","1.26%"
"11/03/2025","38.77","38.46","38.91","38.46","140.60K","-0.10%"
"10/31/2025","38.81","38.56","38.85","38.45","176.10K","0.41%"
"10/30/2025","38.65","38.61","39.06","38.61","82.34K","-1.73%"
"10/29/2025","39.33","40.03","40.03","39.26","48.01K","-1.08%"
"10/28/2025","39.76","39.66","40.03","39.66","86.18K","-0.15%"
"10/27/2025","39.82","40.22","40.25","39.81","62.07K","-0.62%"
"10/24/2025","40.07","40.78","40.78","39.94","88.32K","-1.77%"
"10/23/2025","40.79","40.83","40.87","40.64","112.04K","-0.56%"
"10/22/2025","41.02","41.39","41.39","40.74","66.78K","0.44%"
"10/21/2025","40.84","40.97","41.03","40.65","41.19K","-1.38%"
"10/20/2025","41.41","41.69","41.69","41.24","56.09K","0.36%"
"10/17/2025","41.26","40.97","41.32","40.87","81.51K","1.88%"
"10/16/2025","40.50","40.26","40.70","40.26","155.02K","2.48%"
"10/15/2025","39.52","39.40","39.63","39.36","71.49K","1.13%"
"10/14/2025","39.08","38.67","39.15","38.67","95.47K","1.03%"
"10/13/2025","38.68","38.78","38.81","38.64","103.65K","-0.57%"
"10/10/2025","38.90","39.40","39.40","38.65","162.35K","0.46%"
"10/09/2025","38.72","38.58","38.89","38.55","355.38K","0.70%"
"10/08/2025","38.45","38.16","38.54","38.08","87.19K","1.10%"
